,MissionsCOMPETENCES,droit des contrats,droit commercial,droit des garanties,droit fiscal des entreprises,droit patrimonial,régime matrimonial,succession,FBF,ISDA,Normes comptables,IFRS,AAP,Droit financier,code monétaire et financier,produits dérivés,instruments financiers,produit d’investissement,produits de placement,produit de spéculation,instrument de marchés,produits structurés,produits d’épargne,produits d’assurance,émissions obligataires,titres de créance,Opérations de marché,l’impôt sur le revenu,IR,l'impôt sur les sociétés,IS,impôts sur les bénéfices,l’impôt de solidarité sur la fortune,ISF,la taxe sur la valeur ajoutée,TVA,la taxe intérieure sur les produits pétroliers,TIPP,code général des impôts,CGI,taxes,CGS,risque de marché,risque opérationnel,risque de contrepartie,risque de crédit,Normes de réglementation,FRTB,BALE2,BALE 2.5,EMIR,VAR,LCR,CVAR,Expected Shortfall,Microsoft Office,Excel,Outlook,Access,VBA,Word,Agenda,Rigueur,planifier,Travail en équipe,Convaincre,Relationnel,collaboration,réunions,compte rendu,Anglais Ecrit
7,4 ans d’expérience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"rédiger et négocier la documentation juridique relative aux différentes émissions obligataires et d’autres types de titres de créance, en lien avec différents interlocuteurs internes ou externes de la banque ; assister et conseiller le front-office et, le cas échéant, les fonctions supports dans l’étude de projets ou sur toute question juridique relative à la réalisation d’opérations et à l’offre de titres de créance ; assurer la veille législative et réglementaire relative à l’activité de marché obligataire et les produits structurés et participer à la rédaction ou la mise à jour des memoranda et aux recherches ponctuelles ; plus généralement, être source de propositions et de solutions juridiques adaptées, tout en garantissant la sécurité juridique de l’ensemble des dossiers et opérations traitées par spd legal. localisation du postezone géographiqueeurope, france, ile-de-france, 92 - hauts-de-seinevillemontrougecritères candidatniveau d'études minimumbac + 5 / m2 et plusformation / spécialisation- ecole de commerce, université- spécialisation : droit",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24,"boursier.  dans ce cadre vos principales missions seront de :  - participer aux travaux de préparation des assemblées générales, des conseils d’administration et de ses comités, du document de référence et de ses actualisations… - réaliser des études, analyses et notes opérationnelles, notamment pour l’application de nouveaux textes législatifs ou réglementaires ; - traiter de questions variées émanant des directions opérationnelles et fonctionnelles en droit des sociétés et droit boursier ; - suivre l’actualité législative et réglementaire en droit des sociétés et droit boursier.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
28,"son activité est de traiter toutes les questions juridiques et réglementaires liées à l’activité bancaire et aux relations fournisseurs ainsi que de suivre la couverture assurance de l’entreprise.  en qualité de juriste au sein de cette direction adjointe, vous assurez les missions suivantes :  - etudier la documentation juridique afin d’en assurer collectivement une veille active et diffuser la norme juridique en veillant à sa compréhension par les collaborateurs de l’entreprise. - répondre aux problématiques juridiques quotidiennes du réseau d’agences et des services du siège. - assurer une mission de « business partner » pour conseiller les opérationnels sur leurs dossiers et projets. - elaborer et valider la documentation contractuelle clients, les actes types de garantie… - valider juridiquement : o la documentation commerciale et publicitaire de l’entreprise o les contrats fournisseurs, de partenariats, de service o les procédures d’activités des différentes structures de l’entreprise. - participer au traitement des réclamations clientèles complexes. - participer à des groupes de travail ou chantiers internes ou nationaux   ",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
30,baux commerciaux et possédez une expérience,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
33,"  gérer la contractualisation (avec les clients du groupe crédit agricole sa et avec les fournisseurs /sous-traitants de ca-gip) ;   assister et conseiller sur toute demande d'analyse juridique relative à des sujets touchant l'activité ;    suivre les litiges éventuels avec les fournisseurs ;    suivre et coordonner les obligations au regard de la loi informatique et liberté ;   réaliser la veille juridique ;    mettre en œuvre et traduire en notes de procédures les obligations réglementaires, légales, et instructions du groupe.         ",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
38,"- gérer la relation commerciale d'un ou plusieurs portefeuilles banque privée, étant ainsi l'interlocuteur permanent de la relation pour la banque au quotidien, pour le montage de dossiers de crédits simples, etc. - s'assurer de la qualité du service apportée aux clients banque privée, - veiller au respect de la conformité et de la déontologie, contribuer à la maîtrise des risques (financiers, contrepartie, opérationnels). vous pourrez également participer aux activités des conseillers en patrimoine.  cette expérience dans le secteur bancaire vous permettra de développer vos compétences techniques, commerciales et relationnelles. une alternance réussie pourra déboucher sur de belles opportunités en cdi.  tous nos postes sont ouverts aux",0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
39,"le head office compte environ 120 collaborateurs qui interviennent de façon transversale sur l’ensemble des problématiques juridiques du groupe. l’équipe legal financial security fait partie du département contentieux (« global dispute resolution ») du head office qui a pour mission d’anticiper les risques contentieux et réglementaires et de les gérer. cette équipe est située à paris et new york et comprend également un réseau de correspondants dans le monde.  notre monde change : notre manière de nous informer, de consommer et de travailler aussi ! vous acquerrez une expertise notamment en droit financier bancaire, en droit de la régulation et en droit pénal financier au contact d’interlocuteurs et de produits financiers variés. vous voulez connaitre toutes les raisons de nous rejoindre ? rendez-vous sur www.bnpparibas.com   et la rémunération ? c’est un sujet important, qui sera bien sûr abordé.",0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0
40,rédiger les contrats et avenants (en anglais et en français) sous la supervision des juristes du département • mener des recherches juridiques sur divers sujets juridiques • assister aux réunions avec les clients internes • participer à la rédaction de diverses notes juridiques internes sur divers sujets juridiques liés à des problématiques juridiques internationales et nationales   ,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0
42,"rédiger des notes d’information à destination des collaborateurs et réaliser les réunions de formation et d’information consécutives aux évolutions législatives et réglementaires, • assister également les autres services dans le traitement des réclamations et des litiges et prenez en charge les contentieux le cas échéant, en relation avec nos avocats.  ",0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1
